id   Vmag    e_Vm  B-V     e_B-V
 518 19.631  0.009  0.511  0.012
 519 19.633  0.007  0.498  0.010
 520 19.635  0.007  0.486  0.010
 521 19.639  0.009  0.483  0.012
 522 19.640  0.007  0.504  0.010
 523 19.643  0.007  0.504  0.010
 524 19.645  0.007  0.438  0.009
 525 19.646  0.007  0.950  0.011
 526 19.647  0.007  0.495  0.010
 527 19.648  0.007  0.529  0.009
 528 19.648  0.007  0.505  0.009
 529 19.650  0.007  0.857  0.011
 530 19.652  0.007  0.498  0.009
 531 19.653  0.007  0.524  0.010
 532 19.654  0.007  0.487  0.010
 533 19.655  0.007  0.484  0.009
 534 19.659  0.007  0.508  0.010
 535 19.661  0.007  0.555  0.010
 536 19.662  0.007  0.485  0.009
 537 19.665  0.007  0.525  0.010
 538 19.670  0.007  0.528  0.010
 539 19.673  0.007  0.535  0.010
 540 19.675  0.007  0.517  0.009
 541 19.675  0.007  0.516  0.010
 542 19.675  0.008  0.479  0.011
 543 19.677  0.007  0.499  0.010
 544 19.682  0.007  0.528  0.010
 545 19.693  0.007  0.521  0.010
 546 19.694  0.007  0.524  0.010
 547 19.697  0.007  0.501  0.010
 548 19.704  0.007  0.501  0.010
 549 19.709  0.007  0.525  0.010
 550 19.709  0.007  0.524  0.010
 551 19.709  0.007  0.533  0.010
 552 19.710  0.008  0.503  0.010
 553 19.710  0.007  0.525  0.010
 554 19.715  0.008  0.514  0.011
 555 19.718  0.007  0.530  0.010
 556 19.722  0.007  0.519  0.011
 557 19.726  0.007  0.501  0.010
 558 19.733  0.013  0.415  0.023
 559 19.738  0.007  0.537  0.011
 560 19.744  0.007  0.514  0.011
 561 19.748  0.007  0.531  0.010
 562 19.749  0.007  0.519  0.010
 563 19.750  0.007  0.509  0.010
 564 19.753  0.008  0.527  0.011
 565 19.754  0.007  1.021  0.012
 566 19.757  0.007  0.518  0.010
 567 19.758  0.007  0.539  0.011
 568 19.759  0.009  1.579  0.020
 569 19.770  0.008  0.499  0.010
 570 19.771  0.007  0.516  0.010
 571 19.773  0.007  0.478  0.010
 572 19.775  0.007  0.516  0.010
 573 19.775  0.007  0.525  0.010
 574 19.776  0.007  0.514  0.010
 575 19.779  0.007  0.458  0.010
 576 19.779  0.007  0.535  0.010
 577 19.779  0.007  0.526  0.010
 578 19.790  0.007  0.496  0.011
 579 19.794  0.007  0.522  0.010
 580 19.800  0.008  0.472  0.011
 581 19.800  0.007  0.521  0.010
 582 19.803  0.008 -0.098  0.010
 583 19.810  0.007  0.546  0.011
 584 19.811  0.007  0.745  0.011
 585 19.813  0.007  0.499  0.011
 586 19.813  0.008  0.513  0.011
 587 19.813  0.007  0.518  0.011
 588 19.814  0.007  0.536  0.010
 589 19.817  0.007  0.528  0.010
 590 19.823  0.008  0.513  0.011
 591 19.824  0.007  0.526  0.011
 592 19.826  0.008  0.509  0.012
 593 19.828  0.007  0.550  0.010
 594 19.839  0.007  0.507  0.010
 595 19.842  0.007  0.538  0.011
 596 19.843  0.008  0.530  0.011
 597 19.844  0.007  0.510  0.011
 598 19.846  0.007  0.492  0.010
 599 19.847  0.008  0.487  0.011
 600 19.853  0.008  0.514  0.011
 601 19.854  0.009  0.487  0.013
 602 19.858  0.008  0.552  0.011
 603 19.858  0.008  0.510  0.011
 604 19.862  0.012  0.555  0.015
 605 19.863  0.008  0.525  0.011
 606 19.864  0.007  0.502  0.010
 607 19.868  0.010  0.553  0.013
 608 19.870  0.008  0.546  0.012
 609 19.870  0.008  0.537  0.011
 610 19.871  0.008  0.514  0.012
 611 19.871  0.008  0.514  0.011
 612 19.873  0.008  0.507  0.011
 613 19.874  0.008  0.519  0.011
 614 19.878  0.008  1.656  0.017
 615 19.880  0.008  0.512  0.011
 616 19.885  0.008  0.514  0.011
 617 19.889  0.008  0.590  0.012
 618 19.896  0.009  0.571  0.012
 619 19.897  0.009  0.513  0.013
 620 19.897  0.008  0.542  0.011
 621 19.898  0.008  0.545  0.011
 622 19.899  0.008  0.496  0.012
 623 19.900  0.008  0.487  0.011
 624 19.900  0.008  0.552  0.012
 625 19.901  0.008  0.531  0.012
 626 19.904  0.008  0.564  0.012
 627 19.904  0.008  0.548  0.011
 628 19.907  0.012  1.423  0.025
 629 19.908  0.008  0.525  0.012
 630 19.909  0.008  0.522  0.011
 631 19.910  0.008  0.517  0.011
 632 19.912  0.008  0.507  0.011
 633 19.913  0.008  0.530  0.012
 634 19.914  0.008  0.524  0.011
 635 19.915  0.008  0.538  0.011
 636 19.917  0.008  0.536  0.012
 637 19.920  0.007  0.516  0.011
 638 19.920  0.008  0.531  0.012
 639 19.923  0.008  0.539  0.011
 640 19.929  0.008  0.547  0.011
 641 19.929  0.008  0.489  0.012
 642 19.930  0.008  0.525  0.012
 643 19.930  0.008  0.553  0.011
 644 19.930  0.010  0.634  0.014
 645 19.931  0.008  0.608  0.013
 646 19.934  0.008  0.536  0.012
 647 19.937  0.008  0.552  0.012
 648 19.940  0.008  0.499  0.012
 649 19.940  0.008  0.524  0.011
 650 19.946  0.008  0.557  0.011
 651 19.951  0.008  0.579  0.011
 652 19.951  0.008  0.544  0.011
 653 19.953  0.008  0.564  0.012
 654 19.955  0.007  0.553  0.011
 655 19.957  0.008  0.524  0.011
 656 19.958  0.008  0.539  0.012
 657 19.961  0.009  0.537  0.014
 658 19.962  0.008  0.504  0.012
 659 19.966  0.008  0.559  0.011
 660 19.968  0.008  0.537  0.012
 661 19.968  0.008  0.528  0.012
 662 19.976  0.008  0.531  0.013
 663 19.983  0.009  0.491  0.013
 664 19.984  0.008  0.542  0.012
 665 19.984  0.008  0.576  0.012
 666 19.997  0.011  0.700  0.016
 667 19.997  0.008  0.513  0.012
 668 19.998  0.008  0.569  0.012
 669 20.004  0.008  0.542  0.012
 670 20.008  0.008  0.600  0.012
 671 20.008  0.008  0.533  0.012
 672 20.009  0.009  0.542  0.012
 673 20.011  0.008  0.557  0.012
 674 20.011  0.009  0.596  0.013
 675 20.014  0.011  0.526  0.014
 676 20.015  0.010  0.507  0.014
 677 20.018  0.008  0.544  0.012
 678 20.021  0.008  1.499  0.020
 679 20.022  0.009  0.516  0.012
 680 20.022  0.008  0.538  0.012
 681 20.024  0.008  0.559  0.011
 682 20.024  0.008  0.547  0.011
 683 20.024  0.009  0.557  0.012
 684 20.024  0.008  0.579  0.012
 685 20.026  0.009  0.570  0.013
 686 20.027  0.013  1.472  0.021
 687 20.029  0.009  0.550  0.012
 688 20.033  0.009  0.556  0.013
 689 20.035  0.009  0.563  0.014
 690 20.037  0.008  0.568  0.013
 691 20.038  0.008  0.555  0.012
 692 20.039  0.008  0.579  0.012
 693 20.040  0.009  0.563  0.012
 694 20.040  0.009  0.516  0.012
 695 20.040  0.008  0.556  0.012
 696 20.042  0.008  0.542  0.012
 697 20.045  0.010  0.595  0.014
 698 20.045  0.009  0.576  0.013
 699 20.046  0.009  0.524  0.014
 700 20.049  0.008  0.557  0.012
 701 20.050  0.009  0.552  0.013
 702 20.053  0.008  0.552  0.012
 703 20.056  0.009  0.550  0.013
 704 20.061  0.008  0.551  0.012
 705 20.062  0.009  1.477  0.021
 706 20.067  0.008  0.702  0.013
 707 20.070  0.009  0.595  0.013
 708 20.071  0.009  0.560  0.013
 709 20.075  0.009  0.552  0.012
 710 20.076  0.009  0.539  0.012
 711 20.076  0.008  0.553  0.012
 712 20.080  0.009  0.555  0.013
 713 20.082  0.009  0.504  0.012
 714 20.084  0.008  0.542  0.012
 715 20.087  0.009  0.537  0.012
 716 20.087  0.009  0.538  0.013
 717 20.090  0.009  1.541  0.026
 718 20.092  0.009  0.563  0.012
 719 20.096  0.009  0.548  0.013
 720 20.097  0.009  0.560  0.013
 721 20.099  0.010  0.550  0.014
 722 20.099  0.010  1.344  0.019
 723 20.100  0.009  0.605  0.013
 724 20.100  0.009  0.535  0.013
 725 20.100  0.014  1.533  0.027
 726 20.104  0.008  0.578  0.012
 727 20.105  0.009  0.707  0.014
 728 20.106  0.009  0.591  0.012
 729 20.107  0.015  0.594  0.019
 730 20.107  0.016  0.534  0.022
 731 20.108  0.023  0.672  0.028
 732 20.109  0.009  0.570  0.013
